,gene_name,gene_biotype,P14E1KO_1_1_count,P14E1KO_1_3_count,P14E2KO_1_1_count,P14E2KO_1_3_count,P14E1WT_2_2_count,P14E1WT_2_4_count,P14E1WT_2_5_count,P14E2WT_2_1_count,P14E2WT_2_5_count
Gm37163,Gm37163,TEC,0,0,5,1,0,0,1,5,0
Gm43361,Gm43361,TEC,29,10,17,24,31,21,9,17,26
Gm13185,Gm13185,antisense,2,0,0,5,0,2,4,3,1
Calml4,Calml4,protein_coding,1463,1422,2552,2743,1283,1392,1546,2905,2764
Stk32a,Stk32a,protein_coding,6,13,14,5,15,4,5,2,9
Cmip,Cmip,protein_coding,1782,1949,1742,2903,2175,2112,1922,1889,1588
Gm2897,Gm2897,protein_coding,5,9,13,10,14,10,12,15,17
Gm37132,Gm37132,TEC,1,0,0,1,1,1,0,2,0
Cpped1,Cpped1,protein_coding,1704,1494,1902,2161,1946,1745,1934,1870,1739
Wbp2nl,Wbp2nl,protein_coding,15,5,7,23,18,13,11,20,17
Gm10729,Gm10729,TEC,0,2,9,5,4,2,4,0,2
X5730480H06Rik,5730480H06Rik,protein_coding,246,154,139,177,212,184,192,157,201
CT030665.2,CT030665.2,lincRNA,5,4,1,3,0,3,4,5,3
Gm45864,Gm45864,lincRNA,1,0,0,2,0,0,1,1,3
Gm11769,Gm11769,processed_transcript,14,11,3,15,11,15,10,23,2
C1qtnf12,C1qtnf12,protein_coding,176,132,248,354,201,197,169,278,179
Psg16,Psg16,protein_coding,0,1,2,6,1,1,0,0,3
Dapp1,Dapp1,protein_coding,137,171,116,296,203,220,140,210,203
Gm9247,Gm9247,processed_pseudogene,11,2,8,3,4,4,6,5,3
Gm26749,Gm26749,lincRNA,5,4,0,2,1,1,2,3,2
Klhl22,Klhl22,protein_coding,865,749,820,1054,932,1032,746,855,932
Gm47009,Gm47009,antisense,0,0,0,1,1,1,0,0,1
Ablim3,Ablim3,protein_coding,2,0,0,4,0,1,0,1,1
Gm15334,Gm15334,antisense,1,0,0,0,2,0,0,1,1
Atf2,Atf2,protein_coding,931,753,929,1132,1039,920,937,936,858
Shc3,Shc3,protein_coding,0,3,2,0,0,1,1,2,0
Gm47598,Gm47598,lincRNA,2,1,0,0,0,0,0,0,1
Gm48106,Gm48106,processed_pseudogene,1,0,4,1,0,3,2,2,3
Gm12337,Gm12337,processed_pseudogene,3,4,4,7,4,1,9,5,0
Gm44349,Gm44349,miRNA,58,42,95,83,71,74,66,66,56
Fam126a,Fam126a,protein_coding,486,344,488,586,582,493,402,461,416
Lepr,Lepr,protein_coding,0,0,0,3,0,0,0,0,0
Rnase6,Rnase6,protein_coding,0,0,0,3,0,0,0,0,0
Psma8,Psma8,protein_coding,0,0,0,3,0,0,0,0,0
Dpep2,Dpep2,protein_coding,0,0,0,3,0,0,0,0,0
Pla2g4e,Pla2g4e,protein_coding,0,0,0,3,0,0,0,0,0
Gm47255,Gm47255,processed_pseudogene,0,0,0,3,0,0,0,0,0
Scgb2b4.ps,Scgb2b4-ps,unprocessed_pseudogene,0,0,0,3,0,0,0,0,0
Gm26810,Gm26810,antisense,0,0,0,3,0,0,0,0,0
Gm30198,Gm30198,lincRNA,0,0,0,3,0,0,0,0,0
Gm46204,Gm46204,lincRNA,0,0,0,3,0,0,0,0,0
Gm20406,Gm20406,antisense,0,0,0,3,0,0,0,0,0
Gm22287,Gm22287,snRNA,0,0,0,3,0,0,0,0,0
X1700112D23Rik,1700112D23Rik,antisense,0,0,0,3,0,0,0,0,0
Gm35239,Gm35239,lincRNA,0,0,0,3,0,0,0,0,0
Gm12090,Gm12090,processed_pseudogene,0,0,0,3,0,0,0,0,0
Mdh1b,Mdh1b,protein_coding,0,0,0,3,0,0,0,0,0
Gm37675,Gm37675,TEC,0,0,0,3,0,0,0,0,0
Vmn2r30,Vmn2r30,protein_coding,0,0,0,3,0,0,0,0,0
X4933412L11Rik,4933412L11Rik,TEC,0,0,0,3,0,0,0,0,0
Gm19272,Gm19272,lincRNA,0,0,0,3,0,0,0,0,0
Mc5r,Mc5r,protein_coding,0,0,0,3,0,0,0,0,0
Gm27402,Gm27402,misc_RNA,0,0,0,3,0,0,0,0,0
Gm9230,Gm9230,processed_pseudogene,0,0,0,3,0,0,0,0,0
X1700031P21Rik,1700031P21Rik,lincRNA,0,2,0,4,0,0,1,3,0
Pard3bos1,Pard3bos1,antisense,1,0,3,4,4,2,2,2,2
Gm25911,Gm25911,miRNA,1,0,1,0,2,0,0,1,1
Gm15829,Gm15829,antisense,5,2,3,2,1,0,2,0,6
X2610028D06Rik,2610028D06Rik,TEC,10,9,8,6,11,10,15,2,10
Tmx4,Tmx4,protein_coding,395,170,248,351,274,227,258,280,255
X2310016G11Rik,2310016G11Rik,antisense,28,34,34,58,30,26,29,40,33
Mia,Mia,protein_coding,0,0,0,1,0,1,1,1,0
Gm26268,Gm26268,miRNA,19,18,12,27,12,16,10,17,18
Gm10123,Gm10123,processed_pseudogene,1173,1076,1810,1976,1897,1248,1139,1836,1272
Ankrd39,Ankrd39,protein_coding,97,93,114,123,133,106,91,107,122
Mcoln3,Mcoln3,protein_coding,3,5,8,3,1,9,6,3,7
Ces1c,Ces1c,protein_coding,4,0,2,3,3,14,3,2,2
X4931406P16Rik,4931406P16Rik,protein_coding,335,312,320,535,325,352,342,451,301
Gm5427,Gm5427,lincRNA,2,1,0,0,0,0,1,0,0
Dut,Dut,protein_coding,677,598,788,815,986,573,846,724,759
Xlr3c,Xlr3c,protein_coding,1,0,1,1,0,0,0,0,1
Iqcf1,Iqcf1,protein_coding,0,0,1,2,0,0,1,1,0
mt.Te,mt-Te,Mt_tRNA,28,20,35,34,45,41,44,24,13
Itih1,Itih1,protein_coding,0,0,0,0,1,1,1,0,0
AC154760.1,AC154760.1,lincRNA,7,4,10,3,11,2,5,2,6
Gm18760,Gm18760,processed_pseudogene,7,13,11,12,20,9,6,13,13
Gm42884,Gm42884,antisense,1,0,3,0,1,1,0,1,0
Gm44562,Gm44562,TEC,2,2,0,0,0,6,0,0,2
Zfp58,Zfp58,protein_coding,33,24,48,50,43,31,50,29,30
X4732491K20Rik,4732491K20Rik,bidirectional_promoter_lncRNA,18,23,23,25,24,32,33,21,21
Edn3,Edn3,protein_coding,117,83,192,132,110,96,155,91,140
Gm46415,Gm46415,processed_pseudogene,2,1,0,0,0,0,0,1,0
Dennd3,Dennd3,protein_coding,439,318,407,579,411,411,415,421,405
Lasp1,Lasp1,protein_coding,7766,7091,7229,8839,8436,7754,6858,6681,6918
Atp2c2,Atp2c2,protein_coding,1974,899,620,1581,1330,1307,983,950,1104
Defb37,Defb37,protein_coding,25,40,34,44,23,17,53,62,17
X4430402I18Rik,4430402I18Rik,protein_coding,6,8,11,24,10,6,16,9,9
Gm32591,Gm32591,lincRNA,0,1,0,0,1,1,0,1,0
Chek1,Chek1,protein_coding,288,210,295,352,313,262,317,257,246
Gba,Gba,protein_coding,819,762,873,1033,975,836,766,925,929
Cilp,Cilp,protein_coding,1,0,1,1,0,1,0,0,0
Gm8034,Gm8034,processed_pseudogene,13,7,8,10,14,4,4,13,4
Arhgap33,Arhgap33,protein_coding,302,257,309,465,382,330,350,223,250
Iapp,Iapp,protein_coding,0,5,5,1,5,2,1,0,1
Syap1,Syap1,protein_coding,1174,1170,1297,1484,1302,1208,1267,1229,1225
X4932438A13Rik,4932438A13Rik,protein_coding,1468,1405,1942,2162,1652,1811,1696,1588,1392
Phf23,Phf23,protein_coding,756,650,862,979,851,754,709,963,734
Map3k4,Map3k4,protein_coding,1221,1008,1270,1634,1498,1466,1279,1233,1079
Dmd,Dmd,protein_coding,430,268,314,520,430,384,403,420,288
Smyd2,Smyd2,protein_coding,524,280,535,585,567,434,437,450,414
Ttll11,Ttll11,protein_coding,44,57,39,99,63,44,50,44,49
Gng5,Gng5,protein_coding,2314,2153,2648,2983,2858,2298,2241,2728,2422
Ythdf2,Ythdf2,protein_coding,1244,984,1159,1542,1437,1260,1143,1380,1049
Mgarp,Mgarp,protein_coding,3,3,0,1,5,2,0,5,0
Rarres1,Rarres1,protein_coding,3,3,4,0,1,1,5,2,1
Btbd16,Btbd16,protein_coding,0,0,0,2,0,2,1,0,2
Gm22932,Gm22932,miRNA,0,0,3,8,0,0,2,6,0
Zfp995,Zfp995,protein_coding,147,145,203,207,170,199,156,148,169
Dnmt1,Dnmt1,protein_coding,2697,2176,2867,3276,3457,2843,3327,2520,2470
Galnt12,Galnt12,protein_coding,2565,2051,3337,2548,2656,2315,2921,2503,2244
Gm26603,Gm26603,lincRNA,5,0,0,0,2,1,0,2,0
Atp2b4,Atp2b4,protein_coding,9,9,17,8,14,12,9,3,16
Postn,Postn,protein_coding,0,1,0,0,1,0,1,1,0
Dclre1a,Dclre1a,protein_coding,413,306,445,510,416,410,436,357,329
X4632418H02Rik,4632418H02Rik,TEC,1,2,0,1,1,1,1,3,3
Gm43496,Gm43496,TEC,0,3,0,1,0,0,2,0,0
Fbxo41,Fbxo41,protein_coding,0,0,1,0,1,1,1,0,0
Sec61a2,Sec61a2,protein_coding,272,244,375,378,342,360,364,310,267
Rraga,Rraga,protein_coding,1026,714,990,1052,1180,879,903,1012,911
Gm44199,Gm44199,antisense,15,23,27,14,17,26,18,24,30
Haus2,Haus2,protein_coding,356,281,358,447,418,360,415,304,345
Phyhd1,Phyhd1,protein_coding,1,4,2,4,1,3,1,2,2
Gm14167,Gm14167,antisense,15,17,15,15,19,15,16,14,14
Gm37349,Gm37349,TEC,0,0,0,3,1,1,1,2,0
Tmem45a,Tmem45a,protein_coding,5,9,10,3,2,4,6,12,6
Hist1h2ah,Hist1h2ah,protein_coding,0,0,0,1,0,0,0,3,0
Rps18,Rps18,protein_coding,11300,8624,12199,16851,14156,11156,10853,15886,11983
Gm35188,Gm35188,lincRNA,0,0,2,0,0,0,1,3,0
Gm42856,Gm42856,TEC,0,1,0,0,3,0,1,2,0
Ralgapa1,Ralgapa1,protein_coding,1345,1015,1483,1775,1486,1564,1494,1377,1196
Gm13066,Gm13066,antisense,1,0,0,5,0,4,4,1,0
C530043K16Rik,C530043K16Rik,TEC,0,1,2,0,0,0,0,0,1
Gm15779,Gm15779,processed_pseudogene,0,1,2,0,0,0,0,0,1
Mup.ps23,Mup-ps23,processed_pseudogene,11,15,18,12,7,20,5,40,9
Ccno,Ccno,protein_coding,13,8,7,10,8,11,10,4,18
Cul1,Cul1,protein_coding,2100,1447,2071,2228,2052,1862,1828,2001,1793
Gm48810,Gm48810,processed_pseudogene,3,3,2,5,5,5,2,2,4
Pidd1,Pidd1,protein_coding,353,213,404,376,301,279,413,275,288
Rgs1,Rgs1,protein_coding,0,0,39,14,4,1,5,47,66
Samd11,Samd11,protein_coding,0,1,1,2,4,3,0,0,0
Ccdc137,Ccdc137,protein_coding,540,364,508,610,581,447,397,604,420
Dusp8,Dusp8,protein_coding,2194,1363,1983,3201,2115,2304,1857,2280,1516
Gm3617,Gm3617,processed_pseudogene,5,0,6,1,2,3,1,1,4
Gm44053,Gm44053,lincRNA,11,4,10,11,3,18,5,2,1
Tcp11l2,Tcp11l2,protein_coding,112,126,110,259,75,128,130,207,138
Gm5507,Gm5507,processed_pseudogene,1,1,1,4,4,4,1,1,1
Gm14057,Gm14057,transcribed_processed_pseudogene,4,3,0,6,7,4,2,9,0
Inhbb,Inhbb,protein_coding,1,0,8,0,1,1,0,0,3
Vasn,Vasn,protein_coding,251,176,268,431,278,258,292,398,201
Zfp819,Zfp819,protein_coding,3,0,0,0,1,1,0,4,0
Tm7sf2,Tm7sf2,protein_coding,636,469,567,705,694,503,615,560,563
Kcnj10,Kcnj10,protein_coding,2,1,0,0,7,0,1,0,0
Gm14224,Gm14224,antisense,0,1,2,0,0,1,0,0,0
Gm21112,Gm21112,processed_pseudogene,0,1,2,0,0,1,0,0,0
Plekha4,Plekha4,protein_coding,12,11,14,10,3,17,10,25,17
Prrt3,Prrt3,protein_coding,8,1,4,4,7,6,11,1,2
Fgf22,Fgf22,protein_coding,6,2,2,1,0,0,6,0,1
Yif1b,Yif1b,protein_coding,480,604,529,607,533,536,524,518,500
Epb41l4aos,Epb41l4aos,lincRNA,372,217,338,447,413,248,289,440,304
Dzip3,Dzip3,protein_coding,113,78,89,189,174,144,110,125,116
Gm13690,Gm13690,processed_pseudogene,5,1,3,6,2,2,4,3,2
Tgfb1i1,Tgfb1i1,protein_coding,6,1,5,8,2,5,4,4,2
Gm4740,Gm4740,processed_pseudogene,1,1,0,0,0,1,0,0,3
Rbm4b,Rbm4b,protein_coding,205,143,184,184,139,200,148,178,159
Gm31651,Gm31651,lincRNA,0,3,0,0,0,1,0,0,0
Cdc6,Cdc6,protein_coding,410,286,526,455,477,394,410,368,390
Gm43127,Gm43127,TEC,16,14,34,30,15,12,15,29,19
Gm11366,Gm11366,processed_pseudogene,0,3,0,0,0,0,1,0,0
Hs6st2,Hs6st2,protein_coding,0,3,0,0,0,0,1,0,0
Gm2453,Gm2453,lincRNA,0,1,2,0,0,0,0,1,0
Gm9298,Gm9298,processed_pseudogene,1,3,9,1,2,5,1,1,4
Zfp384,Zfp384,protein_coding,1558,1217,1614,1915,1741,1604,1500,1757,1407
AC154443.2,AC154443.2,processed_pseudogene,0,1,0,0,4,0,0,0,0
Cfap43,Cfap43,protein_coding,405,365,415,581,477,399,495,422,253
Gm47586,Gm47586,TEC,0,3,0,0,0,0,0,1,0
B230206L02Rik,B230206L02Rik,processed_transcript,4,13,20,25,4,7,15,9,18
Bard1,Bard1,protein_coding,317,225,254,321,369,342,435,191,243
Gm45051,Gm45051,antisense,0,1,3,5,5,1,9,4,5
Lncpint,Lncpint,lincRNA,24,10,18,10,9,15,14,21,12
Slc2a13,Slc2a13,protein_coding,568,509,569,1144,579,683,644,686,591
Gm39041,Gm39041,TEC,2,1,0,6,5,0,0,8,4
Gm11599,Gm11599,processed_pseudogene,0,0,0,4,0,2,0,0,0
Zkscan3,Zkscan3,protein_coding,964,793,1071,1074,1015,1080,888,994,822
Gm43966,Gm43966,TEC,12,13,6,17,18,9,13,10,12
Srfbp1,Srfbp1,protein_coding,221,148,224,273,221,175,221,225,164
Fgf7,Fgf7,protein_coding,0,0,5,6,0,2,3,1,0
Gm29794,Gm29794,processed_pseudogene,0,1,2,0,1,0,0,0,0
Gm10184,Gm10184,protein_coding,33,34,29,35,29,38,24,23,28
Gm16288,Gm16288,processed_pseudogene,0,0,0,1,1,0,0,1,0
Smim18,Smim18,protein_coding,0,1,1,1,0,1,1,0,3
Cops7b,Cops7b,protein_coding,372,266,371,371,423,336,378,335,320
Klra2,Klra2,protein_coding,0,0,0,2,0,1,1,0,2
Gm16418,Gm16418,processed_pseudogene,192,185,224,232,167,151,207,265,217
Anxa11os,Anxa11os,antisense,2,6,13,5,3,15,0,14,10
Jakmip1,Jakmip1,protein_coding,199,188,192,238,186,213,181,198,183
Rps25.ps1,Rps25-ps1,processed_pseudogene,21,15,41,44,20,17,34,17,21
Ube2j2,Ube2j2,protein_coding,1632,1340,1611,2044,2012,1433,1390,1576,1460
Gm43923,Gm43923,TEC,0,3,0,0,1,0,0,0,0
Ptdss1,Ptdss1,protein_coding,1384,1188,1420,1823,1468,1373,1446,1416,1408
Pjvk,Pjvk,protein_coding,6,0,1,0,0,2,1,1,0
Gm26652,Gm26652,lincRNA,2,1,0,0,4,2,0,0,4
Dock7,Dock7,protein_coding,1753,1262,1775,2057,1895,1663,1695,1760,1641
Commd5,Commd5,protein_coding,5,5,4,1,4,4,5,8,1
Gm25363,Gm25363,misc_RNA,1,0,4,0,0,2,2,2,3
Dock8,Dock8,protein_coding,412,383,402,481,424,464,417,411,340
Gm10663,Gm10663,protein_coding,0,0,2,1,4,3,0,0,0
Gngt1,Gngt1,protein_coding,0,3,1,4,1,3,1,0,0
Guca1b,Guca1b,protein_coding,11,10,22,16,4,10,13,27,12
Gm13411,Gm13411,lincRNA,0,2,10,0,0,0,0,6,2
Gm6051,Gm6051,processed_pseudogene,1,0,0,0,1,0,1,1,0
Gm44560,Gm44560,TEC,0,0,3,0,0,0,1,1,0
Gm44546,Gm44546,lincRNA,0,0,3,0,0,0,1,1,0
Gm47218,Gm47218,TEC,23,39,21,26,28,7,31,20,34
Tagln,Tagln,protein_coding,31,36,35,41,37,35,44,34,39
Lmtk2,Lmtk2,protein_coding,1566,1647,1826,2082,2017,1989,1640,1759,1705
Gm15332,Gm15332,unprocessed_pseudogene,2,0,2,0,0,0,0,1,1
Gm9825,Gm9825,processed_pseudogene,11,9,11,10,19,12,7,11,12
Bcl2l10,Bcl2l10,protein_coding,1,0,0,0,0,0,0,0,1
Igf1r,Igf1r,protein_coding,388,386,493,576,409,488,454,541,426
Gm11510,Gm11510,processed_pseudogene,0,0,3,0,1,1,0,0,0
Snord87,Snord87,snoRNA,2,0,1,1,5,0,2,1,0
Gm28285,Gm28285,protein_coding,2,0,1,1,3,3,1,1,2
Gm10518,Gm10518,protein_coding,3,1,0,0,0,1,0,2,0
Cd96,Cd96,protein_coding,0,0,4,0,3,2,1,3,6
Klhdc1,Klhdc1,protein_coding,48,36,66,78,52,40,77,54,40
AC154218.2,AC154218.2,lincRNA,0,0,3,0,0,0,1,0,5
Dbi,Dbi,protein_coding,3874,3766,5323,5217,4747,4147,4685,5406,5288
Impact,Impact,protein_coding,204,171,317,295,225,226,235,199,246
Fcgr2b,Fcgr2b,protein_coding,3,5,0,3,1,2,5,0,18
Kdm6bos,Kdm6bos,antisense,34,27,39,73,56,45,33,45,38
Gm20405,Gm20405,processed_transcript,6,6,2,5,5,3,1,2,6
Klrg2,Klrg2,protein_coding,8,2,16,9,6,5,12,13,8
Gm32786,Gm32786,bidirectional_promoter_lncRNA,0,0,0,3,1,2,5,0,0
Gm45515,Gm45515,antisense,17,9,38,19,8,13,7,22,27
Gm9256,Gm9256,processed_pseudogene,2,6,1,7,2,6,3,2,2
Gm2449,Gm2449,bidirectional_promoter_lncRNA,2,2,5,9,7,10,5,3,2
Josd2,Josd2,protein_coding,527,331,506,601,581,453,412,511,420
Gm7180,Gm7180,processed_pseudogene,11,18,14,8,13,10,21,16,19
AC150314.1,AC150314.1,processed_pseudogene,0,0,0,0,4,0,0,0,0
Ercc2,Ercc2,protein_coding,465,310,439,578,522,431,384,500,372
U2surp,U2surp,protein_coding,1750,1350,1811,2032,1870,2013,1699,1685,1576
Rasl12,Rasl12,protein_coding,32,31,30,29,20,30,42,24,55
Vti1b,Vti1b,protein_coding,1022,982,1304,1298,1173,1057,1036,1141,1133
Mrpl15,Mrpl15,protein_coding,790,792,944,1141,1072,966,917,1017,767
Actl6b,Actl6b,protein_coding,2,4,0,6,1,6,1,2,0
Usp22,Usp22,protein_coding,2179,1612,2072,2727,2260,2204,2070,2197,1925
Rps12.ps9,Rps12-ps9,processed_pseudogene,29,22,37,44,40,38,29,43,31
X1700072G22Rik,1700072G22Rik,lincRNA,11,0,5,1,0,5,1,1,4
Gm43009,Gm43009,TEC,1,0,0,0,0,0,0,1,0
Arnt2,Arnt2,protein_coding,84,78,105,125,77,42,159,83,78
Zc3h6,Zc3h6,protein_coding,114,129,153,184,88,115,203,109,140
Gm16091,Gm16091,processed_transcript,154,109,143,235,180,195,185,143,132
Gpat2,Gpat2,protein_coding,4,2,3,5,3,3,7,1,1
Rgs13,Rgs13,protein_coding,12,25,91,79,17,5,16,53,122
C030015A19Rik,C030015A19Rik,TEC,23,16,14,28,20,23,18,30,25
Bag3,Bag3,protein_coding,2228,1157,1681,2444,2523,1909,1423,2505,1530
Dnajb5,Dnajb5,protein_coding,158,99,133,203,157,181,166,135,146
Dbpht2,Dbpht2,lincRNA,12,5,4,2,6,10,4,7,6
Ubp1,Ubp1,protein_coding,1895,1400,2080,2242,1963,1803,1797,1840,1720
Bcas2,Bcas2,protein_coding,1272,875,1178,1486,1401,1091,1186,1318,1182
Trp53inp2,Trp53inp2,protein_coding,3519,3186,3281,3525,3262,3471,3496,2918,2942
Ncaph,Ncaph,protein_coding,907,744,859,905,1071,793,1122,682,835
Htra4,Htra4,protein_coding,2,7,1,2,3,1,6,2,2
Gm13388,Gm13388,antisense,1,0,0,0,1,0,0,0,0
Gm12986,Gm12986,processed_pseudogene,1,0,0,0,1,0,0,0,0
Xkr8,Xkr8,protein_coding,35,24,33,52,35,45,38,34,38
Gm17045,Gm17045,processed_pseudogene,0,0,1,0,0,0,1,0,0
Gm17508,Gm17508,lincRNA,0,0,1,0,0,0,1,0,0
Smim26,Smim26,protein_coding,74,63,105,112,129,87,87,94,95
Hcn3,Hcn3,protein_coding,35,26,18,40,29,38,43,28,35
Zbtb7c,Zbtb7c,protein_coding,716,480,511,627,652,420,588,484,454
Gm34418,Gm34418,lincRNA,0,0,1,0,4,0,0,0,0
Ccdc85c,Ccdc85c,protein_coding,2076,1836,2049,2462,2764,2075,1910,2251,2030
Txlnb,Txlnb,protein_coding,7,0,0,3,1,1,1,5,0
Cir1,Cir1,protein_coding,145,120,189,271,136,187,248,185,175
E230001N04Rik,E230001N04Rik,lincRNA,17,20,37,16,20,16,37,26,22
X4933427E11Rik,4933427E11Rik,antisense,2,0,4,5,8,3,2,0,3
Gm43072,Gm43072,TEC,1,1,5,2,1,0,2,3,0
Fam32a,Fam32a,protein_coding,1844,1362,1579,2049,1854,1696,1725,1725,1473
Gm11211,Gm11211,lincRNA,5,0,0,1,0,1,3,0,0
Aasdh,Aasdh,protein_coding,166,158,250,296,219,244,241,201,208
Gm44079,Gm44079,antisense,0,4,6,1,1,3,1,2,1
Gm5619,Gm5619,processed_pseudogene,9,5,4,19,13,6,14,11,15
Mir692.2,Mir692-2,miRNA,1,1,3,4,3,2,2,1,1
Rb1,Rb1,protein_coding,1021,1089,988,1278,1232,1101,1118,958,937
Ptp4a2,Ptp4a2,protein_coding,7947,6781,7500,10999,9377,7896,7904,8606,7641
Rbms2,Rbms2,protein_coding,463,323,373,556,431,414,403,474,448
Gm13333,Gm13333,processed_pseudogene,0,2,0,0,0,2,0,1,1
Wdr25,Wdr25,protein_coding,85,117,85,135,111,101,116,90,72
Gm37864,Gm37864,sense_intronic,2,1,0,0,0,2,0,0,1
Il16,Il16,protein_coding,5,11,20,9,9,3,9,10,13
Zfp790,Zfp790,protein_coding,267,206,254,266,215,234,212,293,210
Chst14,Chst14,protein_coding,22,8,26,26,27,17,12,17,16
Hpcal4,Hpcal4,protein_coding,3,2,10,5,18,4,2,8,2
Rhot1,Rhot1,protein_coding,865,530,791,931,885,701,766,720,668
Nudt15,Nudt15,protein_coding,81,58,87,63,87,54,85,51,56
AC124739.2,AC124739.2,lincRNA,0,2,0,0,1,0,1,0,2
Adat2,Adat2,protein_coding,95,89,132,159,142,120,121,137,84
X1700015O11Rik,1700015O11Rik,lincRNA,0,2,0,1,0,4,2,1,1
Tmprss5,Tmprss5,protein_coding,0,0,0,6,0,0,2,0,0
Gm7432,Gm7432,processed_pseudogene,5,3,9,10,7,16,5,3,13
Serhl,Serhl,protein_coding,795,709,780,1099,891,936,792,872,829
Exoc3l,Exoc3l,protein_coding,13,5,11,23,13,14,11,8,19
Mir6946,Mir6946,miRNA,0,2,1,0,4,1,0,0,1
Mir7087,Mir7087,miRNA,2,2,0,2,1,3,3,2,0
Gm13283,Gm13283,protein_coding,1,0,3,0,0,1,0,0,1
Gm17748,Gm17748,processed_pseudogene,1,0,3,0,0,1,0,0,1
Gm47021,Gm47021,processed_pseudogene,4,1,0,3,1,2,5,6,1
Yes1,Yes1,protein_coding,1220,926,1206,1687,1225,1232,1158,1203,1145
Btbd7,Btbd7,protein_coding,1429,1116,1378,1932,1394,1497,1316,1413,1132
n.R5s29,n-R5s29,rRNA,5,0,2,7,4,4,4,0,2
Htr1b,Htr1b,protein_coding,0,1,0,4,0,0,3,0,0
Gm30363,Gm30363,processed_transcript,0,2,0,0,0,0,2,1,1
Yaf2,Yaf2,protein_coding,266,194,252,266,312,211,235,285,221
Gm22442,Gm22442,scaRNA,1,2,4,1,0,1,0,6,0
Tbc1d8b,Tbc1d8b,protein_coding,961,654,766,1139,1007,820,835,736,707
Slc7a9,Slc7a9,protein_coding,106,182,175,92,120,156,180,173,451
Stx5a,Stx5a,protein_coding,1902,1359,1835,2261,1754,1829,1815,2129,1852
Gm8291,Gm8291,processed_pseudogene,4,1,0,0,1,0,1,1,0
Gm3752,Gm3752,protein_coding,1,0,0,0,0,0,0,2,2
Flrt1,Flrt1,protein_coding,1,1,0,6,5,0,6,1,3
Gm47147,Gm47147,processed_pseudogene,17,11,13,27,21,26,20,9,7
Scarna9,Scarna9,snoRNA,0,0,2,0,0,1,2,0,1
A930001C03Rik,A930001C03Rik,processed_transcript,3,6,8,15,9,18,10,5,16
A830008E24Rik,A830008E24Rik,lincRNA,2,2,0,1,0,0,2,7,0
Muc2,Muc2,protein_coding,57441,35266,68730,40395,54765,50639,49319,36314,43088
Pot1a,Pot1a,protein_coding,267,227,285,357,264,306,310,241,243
Gm22523,Gm22523,snRNA,1,4,4,6,1,5,2,4,0
Gm5469,Gm5469,processed_pseudogene,3,7,10,0,4,5,3,7,3
Lhfpl1,Lhfpl1,protein_coding,2,3,4,0,3,3,2,3,2
Mir5135,Mir5135,miRNA,1,0,0,0,0,0,0,2,2
Gm10012,Gm10012,transcribed_processed_pseudogene,25,19,21,43,34,24,21,34,31
Dcun1d2,Dcun1d2,protein_coding,569,342,535,572,569,468,487,483,426
Gm48853,Gm48853,antisense,8,1,7,8,6,10,6,5,3
Gm19582,Gm19582,antisense,4,2,0,1,1,1,5,0,1
Pigw,Pigw,protein_coding,134,93,172,143,179,150,127,111,146
Lamtor4,Lamtor4,protein_coding,608,467,552,741,620,527,530,601,616
Krtap28.10,Krtap28-10,protein_coding,0,0,0,3,3,0,0,0,0
Zscan25,Zscan25,protein_coding,346,231,301,354,335,270,261,371,227
Gm42531,Gm42531,sense_intronic,3,1,0,0,2,2,0,0,3
AC161607.1,AC161607.1,antisense,0,3,1,3,0,0,0,5,0
Arhgef12,Arhgef12,protein_coding,1295,1094,1511,1847,1494,1501,1457,1451,1129
Gm43721,Gm43721,TEC,3,1,0,0,0,0,1,1,5
Ubqln4,Ubqln4,protein_coding,1745,1340,1614,2043,1961,1532,1535,1826,1441
Gm31600,Gm31600,lincRNA,3,3,0,4,2,1,1,3,0
Rflna,Rflna,protein_coding,15,11,26,7,22,11,5,12,35
Gm24328,Gm24328,miRNA,0,0,3,7,0,3,0,2,0
X4933413J09Rik,4933413J09Rik,lincRNA,0,8,1,13,0,8,5,10,10
Sirt5,Sirt5,protein_coding,162,115,181,244,164,118,195,187,143
Egln2,Egln2,protein_coding,1503,1219,1379,1869,1694,1402,1319,1508,1321
E330011M16Rik,E330011M16Rik,TEC,7,9,4,6,13,7,10,5,13
Gm48500,Gm48500,lincRNA,2,0,0,0,1,1,0,0,2
Pdhb,Pdhb,protein_coding,3284,2572,3072,3949,3627,3229,3353,3141,2836
Mir6948,Mir6948,miRNA,4,4,1,1,3,5,6,1,0
Itpkc,Itpkc,protein_coding,1060,818,1177,2448,1161,1314,934,1538,983
Xlr4c,Xlr4c,protein_coding,0,0,0,1,0,2,2,0,0
Gm47798,Gm47798,sense_intronic,37,27,55,58,45,45,58,14,57
Ankrd44,Ankrd44,protein_coding,232,277,292,320,332,357,299,285,214
Gm26384,Gm26384,miRNA,2,0,0,4,0,1,1,1,2
Lrrtm2,Lrrtm2,protein_coding,1,7,0,0,0,1,0,0,4
Gm20403,Gm20403,protein_coding,0,1,0,4,0,2,2,0,0
Spx,Spx,protein_coding,2,5,8,7,5,2,14,4,5
X1110035H17Rik,1110035H17Rik,antisense,9,15,21,6,10,17,2,4,20
Gm10941,Gm10941,bidirectional_promoter_lncRNA,1,1,0,4,1,0,1,4,0
