gene_id gene_name gene_biotype P14E1Vil_1_1_count P14E1Vil_1_3_count P14E2Vil_1_1_count P14E2Vil_1_2_count P14E2Vil_1_3_count P14E1Vil_2_4_count P14E2Vil_2_5_count P13E2Cad_2_3_count P13E2Cad_2_4_count P13E2Cad_1_1_count P13E2Cad_1_3_count P13E2Cad_1_4_count P13E2Cad_1_5_count P13E1Col_1_3_count P13E1Col_1_4_count P13E1Col_1_5_count P13E1Col_1_6_count P13E1Col_1_7_count a10 a19 a20 a9
X2610528A11Rik ENSMUSG00000096001 2610528A11Rik protein_coding 10411 10756 9238 8264 8494 11562 9719 7778 8295 9853 8342 10048 7547 7559 9221 6835 6832 6459 3250 4711 4163 3015
Gm3500 ENSMUSG00000096003 Gm3500 protein_coding 0 1 4 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm21596 ENSMUSG00000096006 Gm21596 processed_pseudogene 6 5 3 12 9 16 5 21 11 10 8 27 14 10 10 6 6 12 3 6 4 1
Hist4h4 ENSMUSG00000096010 Hist4h4 protein_coding 12 14 10 5 8 5 10 9 12 8 9 12 1 3 5 4 16 5 5 2 7 2
Sox1 ENSMUSG00000096014 Sox1 protein_coding 5 3 6 1 2 0 1 0 1 0 0 1 1 3 0 1 0 2 2 4 0 1
Ighv1.75 ENSMUSG00000096020 Ighv1-75 IG_V_gene 585 124 160 124 246 93 246 167 367 270 79 208 83 392 363 1037 276 157 4 37 112 83
D830030K20Rik ENSMUSG00000096039 D830030K20Rik protein_coding 1 0 0 0 0 1 0 0 0 6 0 2 4 0 2 0 2 0 0 0 0 1
X9930004E17Rik ENSMUSG00000096052 9930004E17Rik antisense 15 8 7 10 7 8 18 5 8 5 7 3 4 13 16 6 5 19 6 1 5 9
Syne1 ENSMUSG00000096054 Syne1 protein_coding 1323 1549 2180 1210 1916 58 413 1055 555 666 674 1010 657 924 315 794 79 183 828 611 741 672
Gm21986 ENSMUSG00000096056 Gm21986 processed_transcript 8 11 8 11 9 4 9 17 14 6 13 6 14 14 0 8 6 1 1 5 3 0
Ighv1.72 ENSMUSG00000096074 Ighv1-72 IG_V_gene 173 328 424 1118 269 279 1113 594 311 404 306 688 739 1158 846 1112 898 427 19 100 43 261
Ighv1.62.2 ENSMUSG00000096078 Ighv1-62-2 IG_V_gene 83 0 14 41 91 13 33 86 0 13 2 73 3 28 47 196 27 65 1 119 25 7
Gm4761 ENSMUSG00000096086 Gm4761 processed_pseudogene 0 0 0 0 0 0 0 0 0 0 4 2 0 1 0 2 4 0 0 0 0 0
A630095N17Rik ENSMUSG00000096094 A630095N17Rik protein_coding 4 2 6 6 6 0 2 5 3 6 3 7 2 3 3 0 0 2 0 4 3 2
Trav4.4.dv10 ENSMUSG00000096096 Trav4-4-dv10 TR_V_gene 0 0 0 2 0 2 3 0 0 0 0 0 0 11 5 1 0 0 0 0 0 0
Gm16505 ENSMUSG00000096107 Gm16505 transcribed_unprocessed_pseudogene 13 7 13 6 14 2 3 6 4 3 7 7 8 4 0 3 5 3 0 0 0 0
Ighv11.2 ENSMUSG00000096108 Ighv11-2 IG_V_gene 143 3 8 1 178 6 41 0 0 0 4 1 0 19 16 18 2 12 0 0 0 6
Gm21917 ENSMUSG00000096111 Gm21917 antisense 0 0 1 1 0 1 0 1 0 0 3 0 0 2 2 0 0 0 0 0 0 0
Ankrd66 ENSMUSG00000096140 Ankrd66 protein_coding 5 2 1 8 11 7 9 13 21 16 9 17 4 8 8 7 5 30 0 3 2 0
Dnah7a ENSMUSG00000096141 Dnah7a protein_coding 5 7 4 2 4 0 1 1 2 3 5 4 0 0 0 1 5 2 4 2 1 0
Vkorc1 ENSMUSG00000096145 Vkorc1 protein_coding 81 75 109 92 79 122 68 62 35 57 45 53 46 55 75 48 84 44 0 3 0 0
Kcnj11 ENSMUSG00000096146 Kcnj11 protein_coding 36 39 22 34 18 1 21 18 11 4 7 1 7 19 20 2 8 16 10 14 16 7
Trav6.5 ENSMUSG00000096149 Trav6-5 TR_V_gene 0 0 0 0 0 0 0 1 0 3 0 2 2 0 0 1 0 0 0 0 0 0
Ighv1.85 ENSMUSG00000096150 Ighv1-85 IG_V_gene 29 258 14 224 29 148 189 29 14 84 42 53 40 407 116 167 69 24 12 10 206 2
Gm9242 ENSMUSG00000096156 Gm9242 processed_pseudogene 12 16 6 10 20 0 15 17 31 13 35 28 15 3 1 4 8 0 9 7 1 9
Gm3436 ENSMUSG00000096160 Gm3436 processed_pseudogene 2 3 2 8 4 1 4 3 4 2 3 5 0 0 3 7 12 12 0 0 1 0
Olfr887 ENSMUSG00000096167 Olfr887 protein_coding 2 8 23 4 3 0 1 3 0 0 4 0 5 0 0 3 0 0 0 0 1 1
Olfr1564 ENSMUSG00000096169 Olfr1564 protein_coding 0 2 0 1 1 0 2 0 1 1 0 1 0 0 3 0 0 0 0 0 0 0
Gm8055 ENSMUSG00000096171 Gm8055 processed_pseudogene 0 7 1 1 0 1 2 0 1 1 0 0 0 0 0 1 0 2 0 1 2 0
Gm3150 ENSMUSG00000096173 Gm3150 processed_pseudogene 1 0 2 3 2 4 3 8 2 2 1 1 1 1 4 1 6 5 0 0 0 0
Gm5070 ENSMUSG00000096177 Gm5070 processed_pseudogene 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 1 0 0 0 0
Cmtm4 ENSMUSG00000096188 Cmtm4 protein_coding 6922 9104 11374 7341 8993 2625 5905 7227 5390 5102 5237 5628 5641 7338 5238 5984 2673 4426 3145 2922 3326 2756
Gm18856 ENSMUSG00000096192 Gm18856 transcribed_processed_pseudogene 5 7 5 1 4 0 0 0 1 2 3 5 3 0 0 0 2 0 2 0 0 2
Gm26138 ENSMUSG00000096195 Gm26138 snRNA 1 0 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
Ptrhd1 ENSMUSG00000096199 Ptrhd1 protein_coding 141 170 92 124 102 271 200 147 158 131 146 192 114 140 179 141 242 249 71 79 67 46
Olfr510 ENSMUSG00000096209 Olfr510 protein_coding 1 2 0 0 0 0 0 0 2 0 1 1 1 0 3 0 1 0 0 1 0 0
H1f0 ENSMUSG00000096210 H1f0 protein_coding 7428 10802 7777 7355 10107 8332 7532 5788 5655 7030 5395 6107 6115 10271 10011 6335 9560 9702 3765 4640 5502 2824
Smim22 ENSMUSG00000096215 Smim22 protein_coding 996 1237 1220 1045 1121 3245 1436 1510 1368 1489 1255 1630 1280 1078 1172 748 2285 1014 187 164 145 118
X1500002C15Rik ENSMUSG00000096221 1500002C15Rik antisense 43 28 35 26 45 25 31 77 48 26 37 42 34 17 19 26 18 18 160 190 207 208
Gm13238 ENSMUSG00000096233 Gm13238 processed_pseudogene 0 6 4 9 5 0 0 4 5 1 0 3 3 9 2 5 0 0 4 1 0 5
Dynlt1b ENSMUSG00000096255 Dynlt1b protein_coding 128 168 168 193 165 381 283 276 297 222 300 294 221 232 262 164 361 533 44 43 39 45
Gm21093 ENSMUSG00000096256 Gm21093 protein_coding 7 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 3
Ccer2 ENSMUSG00000096257 Ccer2 protein_coding 0 0 3 0 0 0 0 1 2 0 0 2 0 0 3 0 0 0 0 3 2 0
Gm21588 ENSMUSG00000096272 Gm21588 lincRNA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tcstv1 ENSMUSG00000096284 Tcstv1 protein_coding 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
Gm21814 ENSMUSG00000096299 Gm21814 lincRNA 18 21 21 11 7 0 6 0 4 2 1 1 3 2 11 3 5 2 8 13 26 3
Faiml ENSMUSG00000096316 Faiml protein_coding 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0
Ighv1.78 ENSMUSG00000096326 Ighv1-78 IG_V_gene 376 188 218 40 395 178 85 383 31 16 167 27 102 513 1053 413 50 128 90 4 16 122
Igkv1.135 ENSMUSG00000096336 Igkv1-135 IG_V_gene 149 215 133 371 81 113 369 377 157 257 95 120 57 237 445 334 414 191 44 69 79 147
Samd11 ENSMUSG00000096351 Samd11 protein_coding 3 6 6 11 4 1 6 5 7 6 8 11 4 2 2 3 1 9 116 130 143 131
Olfr889 ENSMUSG00000096356 Olfr889 protein_coding 0 0 3 0 5 0 2 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0
Gm5814 ENSMUSG00000096361 Gm5814 processed_pseudogene 3 2 8 3 4 1 7 1 1 2 3 3 1 2 10 5 1 5 1 1 0 1
Gm21992 ENSMUSG00000096370 Gm21992 protein_coding 21 35 51 30 36 8 34 45 43 33 45 43 34 28 23 21 14 25 30 20 34 27
Gm7094 ENSMUSG00000096375 Gm7094 unprocessed_pseudogene 0 0 0 0 0 1 0 1 0 0 0 0 2 0 1 0 2 0 0 0 0 0
Mir5123 ENSMUSG00000096377 Mir5123 miRNA 0 0 2 0 0 0 0 1 1 2 3 2 0 0 0 0 0 0 0 0 0 0
Gm19668 ENSMUSG00000096380 Gm19668 protein_coding 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm21811 ENSMUSG00000096401 Gm21811 unprocessed_pseudogene 200 164 243 210 208 59 93 211 136 108 166 154 114 136 133 131 39 81 51 82 66 71
Gm9825 ENSMUSG00000096403 Gm9825 processed_pseudogene 14 6 14 10 9 6 9 11 7 7 1 11 8 10 21 15 15 17 1 2 3 3
Ighv6.5 ENSMUSG00000096407 Ighv6-5 IG_V_gene 0 2 0 0 0 0 0 0 1 0 0 0 1 0 2 2 2 0 0 0 0 2
Ighv1.19 ENSMUSG00000096410 Ighv1-19 IG_V_gene 109 169 244 110 150 68 91 130 131 36 55 135 350 136 175 132 79 180 28 39 124 30
Igkv12.44 ENSMUSG00000096422 Igkv12-44 IG_V_gene 485 898 734 236 954 561 917 558 182 809 272 162 375 2481 707 836 1143 1328 46 120 738 48
Zfp994 ENSMUSG00000096433 Zfp994 protein_coding 332 349 412 305 325 439 333 415 262 299 258 325 274 301 334 377 360 347 117 165 146 87
Gapdh.ps15 ENSMUSG00000096438 Gapdh-ps15 processed_pseudogene 0 1 1 0 3 2 4 1 0 0 3 5 1 1 0 1 0 0 2 0 0 0
Gm4076 ENSMUSG00000096449 Gm4076 processed_pseudogene 2 0 1 0 1 2 1 1 1 2 0 0 0 3 3 0 0 1 1 0 1 3
Ighv1.77 ENSMUSG00000096452 Ighv1-77 IG_V_gene 53 70 12 62 72 28 15 40 5 92 28 80 13 66 23 80 19 15 4 3 40 11
Moap1 ENSMUSG00000096458 Moap1 protein_coding 0 2 1 0 1 1 0 0 3 1 1 0 3 2 2 1 0 0 0 0 0 0
Ighv9.3 ENSMUSG00000096459 Ighv9-3 IG_V_gene 175 376 139 408 282 232 475 436 47 302 164 216 198 550 380 964 174 230 72 439 141 47
Igkv14.130 ENSMUSG00000096461 Igkv14-130 IG_V_gene 38 1 9 58 0 74 23 31 3 0 22 10 7 70 1 37 113 8 0 18 0 9
Ighv2.2 ENSMUSG00000096464 Ighv2-2 IG_V_gene 75 62 179 148 55 104 104 127 33 20 51 47 67 250 222 342 182 19 24 22 27 10
Cdkn2d ENSMUSG00000096472 Cdkn2d protein_coding 404 423 352 398 391 909 579 429 433 451 394 493 326 488 424 385 675 667 147 105 139 123
Gm5561 ENSMUSG00000096474 Gm5561 processed_pseudogene 12 11 9 20 19 41 17 19 20 26 11 28 14 25 17 33 25 20 2 2 0 1
Igkv10.94 ENSMUSG00000096490 Igkv10-94 IG_V_gene 131 107 798 237 96 232 189 161 40 37 153 227 120 201 175 311 764 206 9 85 676 30
Ighv2.5 ENSMUSG00000096498 Ighv2-5 IG_V_gene 21 106 3 25 72 24 119 152 9 20 45 10 6 44 224 187 49 54 2 5 45 10
Ighv1.5 ENSMUSG00000096499 Ighv1-5 IG_V_gene 53 13 74 49 118 25 72 38 30 11 50 22 15 37 439 174 63 31 13 121 19 49
Igkv14.100 ENSMUSG00000096515 Igkv14-100 IG_V_gene 174 49 34 269 131 158 270 224 17 43 70 50 201 217 499 143 283 64 20 0 4 41
Gm6919 ENSMUSG00000096517 Gm6919 processed_pseudogene 0 0 0 1 0 0 0 3 2 2 2 5 3 0 0 1 0 0 0 0 0 0
Gm2663 ENSMUSG00000096525 Gm2663 protein_coding 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0
G430049J08Rik ENSMUSG00000096528 G430049J08Rik protein_coding 0 0 0 1 0 0 11 11 28 2 9 7 11 1 7 20 0 2 0 0 0 0
Trav9n.3 ENSMUSG00000096541 Trav9n-3 TR_V_gene 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 4 0 1 0 0 0 0
Gm4617 ENSMUSG00000096544 Gm4617 processed_pseudogene 219 313 266 261 240 196 341 186 198 173 190 273 95 192 313 225 420 529 34 55 51 35
Prickle4 ENSMUSG00000096549 Prickle4 protein_coding 2 9 3 2 1 0 0 0 0 1 0 1 0 8 3 4 0 0 3 0 4 8
Trav10 ENSMUSG00000096551 Trav10 TR_V_gene 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 6 1 0 0 0 0 1
Gm10097 ENSMUSG00000096553 Gm10097 protein_coding 0 1 2 2 2 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 1 0
Ighd2.3 ENSMUSG00000096568 Ighd2-3 IG_D_gene 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
Amy2a2 ENSMUSG00000096569 Amy2a2 protein_coding 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
X1700009J07Rik ENSMUSG00000096573 1700009J07Rik lincRNA 1 0 0 0 1 1 0 1 0 0 0 0 2 3 0 0 3 9 0 2 1 1
Ighv1.71 ENSMUSG00000096577 Ighv1-71 IG_V_gene 5 15 0 51 3 0 13 1 4 13 6 4 0 5 4 6 11 0 0 0 0 0
Igkv1.132 ENSMUSG00000096580 Igkv1-132 IG_V_gene 3 2 16 10 7 0 6 13 3 0 6 1 0 3 3 6 30 0 0 0 0 0
Gm15801 ENSMUSG00000096592 Gm15801 processed_pseudogene 4 7 5 8 13 4 12 11 4 13 12 14 16 15 20 15 7 43 0 0 4 4
Vmn2r54 ENSMUSG00000096593 Vmn2r54 protein_coding 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Igkv8.19 ENSMUSG00000096594 Igkv8-19 IG_V_gene 181 280 173 590 568 2547 129 479 124 70 72 225 239 1093 2467 720 565 93 1 182 2 47
Gm10591 ENSMUSG00000096596 Gm10591 protein_coding 41 109 95 6 69 36 10 88 16 26 139 80 96 124 107 207 75 24 1 2 1 35
Tpbgl ENSMUSG00000096606 Tpbgl protein_coding 106 76 106 65 112 15 66 30 9 32 17 17 38 34 33 46 43 46 38 42 67 36
Gm5559 ENSMUSG00000096617 Gm5559 processed_pseudogene 162 129 263 249 260 233 307 350 272 417 288 391 287 270 338 420 275 710 1233 1348 1748 1188
Gm3383 ENSMUSG00000096629 Gm3383 protein_coding 0 0 2 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0
Vmn2r26 ENSMUSG00000096630 Vmn2r26 protein_coding 2 0 0 4 1 3 5 4 25 1 8 4 7 0 3 7 0 0 0 0 0 0
Igkv9.124 ENSMUSG00000096632 Igkv9-124 IG_V_gene 148 41 208 426 131 323 97 57 26 108 39 102 131 189 675 528 752 113 14 447 284 12
Ighv2.9 ENSMUSG00000096638 Ighv2-9 IG_V_gene 74 6 55 9 4 24 26 156 4 21 27 7 4 23 37 49 28 62 94 9 36 211
Gm6223 ENSMUSG00000096647 Gm6223 processed_pseudogene 6 6 4 10 4 1 11 6 10 11 7 7 3 11 12 12 6 14 2 0 4 0
Ighv1.31 ENSMUSG00000096649 Ighv1-31 IG_V_gene 9 175 79 35 92 29 112 77 2 6 3 8 75 1099 34 60 105 69 48 37 293 7
X1700065D16Rik ENSMUSG00000096655 1700065D16Rik antisense 0 0 1 2 3 0 5 2 0 1 1 0 0 0 2 6 0 1 5 0 4 10
Trav12.2 ENSMUSG00000096656 Trav12-2 TR_V_gene 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0
Ighv2.6 ENSMUSG00000096670 Ighv2-6 IG_V_gene 6 288 38 39 104 24 34 6 21 16 7 2 31 125 234 39 18 5 6 1 5 13
Ighv1.63 ENSMUSG00000096672 Ighv1-63 IG_V_gene 10 398 365 526 28 21 422 514 3 86 7 16 36 144 56 315 39 52 41 19 29 16
Trav9.4 ENSMUSG00000096678 Trav9-4 TR_V_gene 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Rps19.ps1 ENSMUSG00000096681 Rps19-ps1 processed_pseudogene 2 0 1 0 1 4 2 2 1 2 0 1 0 1 5 1 2 2 0 0 0 0
Mfsd4b4 ENSMUSG00000096687 Mfsd4b4 protein_coding 102 115 153 78 88 39 88 102 52 79 80 106 52 83 84 111 43 121 59 62 47 34
Zfp960 ENSMUSG00000096696 Zfp960 protein_coding 69 88 64 57 78 59 46 56 34 41 31 42 17 56 72 62 51 78 31 40 46 22
Rps19.ps4 ENSMUSG00000096699 Rps19-ps4 processed_pseudogene 4 10 18 7 5 28 11 10 5 2 10 15 6 10 14 11 21 15 2 3 3 2
Gm15454 ENSMUSG00000096712 Gm15454 processed_pseudogene 2 16 24 11 8 16 6 10 4 2 2 4 2 13 15 9 3 8 8 6 10 6
Igkv3.4 ENSMUSG00000096715 Igkv3-4 IG_V_gene 35 66 64 326 15 716 35 654 373 173 180 150 79 240 345 182 1140 45 1 0 103 3
Zfp781 ENSMUSG00000096718 Zfp781 protein_coding 9 6 13 18 9 14 5 12 10 14 3 17 7 10 18 4 27 21 1 2 7 1
Mrgpra2b ENSMUSG00000096719 Mrgpra2b protein_coding 0 3 0 3 0 9 12 3 9 5 1 16 12 0 2 8 7 18 0 0 0 0
Gm5558 ENSMUSG00000096726 Gm5558 processed_pseudogene 8 7 4 2 5 21 8 6 5 7 4 3 4 9 15 8 18 10 2 2 4 1
Psmb9 ENSMUSG00000096727 Psmb9 protein_coding 675 2501 776 3144 2007 14007 5447 5128 5366 5336 5310 6285 4058 3997 5323 4975 10994 7928 313 244 264 291
Lbhd1 ENSMUSG00000096740 Lbhd1 protein_coding 89 120 147 108 142 122 171 98 121 70 117 118 78 149 161 182 264 187 40 50 50 54
Gm28373 ENSMUSG00000096751 Gm28373 processed_transcript 30 32 14 45 52 52 68 153 210 128 212 244 119 28 20 44 30 42 8 1 4 4
Gm23793 ENSMUSG00000096766 Gm23793 snRNA 0 3 0 0 0 0 2 0 0 0 1 0 0 3 0 1 0 0 0 0 0 0
Ighv1.62.3 ENSMUSG00000096767 Ighv1-62-3 IG_V_gene 3 10 8 2 1 27 10 6 97 8 4 1 6 4 25 23 12 11 1 3 0 0
Gm47283 ENSMUSG00000096768 Gm47283 protein_coding 388 110 67 49 31 64 257 236 108 130 310 172 23 189 41 149 91 93 191 131 22 51
Amy2a4 ENSMUSG00000096770 Amy2a4 protein_coding 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0
Gm5796 ENSMUSG00000096775 Gm5796 protein_coding 1 0 7 4 0 5 6 2 1 3 2 1 0 0 0 1 1 3 0 0 1 0
Tmem181b.ps ENSMUSG00000096780 Tmem181b-ps transcribed_unprocessed_pseudogene 374 316 573 340 421 105 277 396 441 379 347 384 324 211 158 239 91 127 21 7 11 8
Zfp433 ENSMUSG00000096795 Zfp433 protein_coding 20 67 31 19 44 15 27 33 20 17 19 24 25 18 52 39 26 53 6 7 9 8
X1700021P04Rik ENSMUSG00000096796 1700021P04Rik lincRNA 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
Ighv9.1 ENSMUSG00000096805 Ighv9-1 IG_V_gene 2 6 54 26 0 20 4 29 6 7 7 15 2 123 8 65 13 8 5 0 0 0
Gm10481 ENSMUSG00000096810 Gm10481 processed_pseudogene 2 0 2 1 2 0 3 2 2 4 1 0 2 2 2 1 4 4 0 2 2 0
Ighv2.7 ENSMUSG00000096824 Ighv2-7 IG_V_gene 0 0 7 13 0 0 0 1 0 0 1 0 14 0 3 1 0 4 0 0 0 0
Trav12.1 ENSMUSG00000096825 Trav12-1 TR_V_gene 0 0 0 1 0 0 0 1 2 1 1 0 0 0 1 0 0 0 0 0 0 0
Ccl27b ENSMUSG00000096826 Ccl27b protein_coding 0 2 1 0 2 0 0 2 0 0 0 1 0 0 0 0 6 0 0 0 0 0
Trav14n.1 ENSMUSG00000096827 Trav14n-1 TR_V_gene 0 1 0 0 0 0 0 4 0 0 0 2 1 2 0 0 0 0 0 0 0 0
Igkv4.55 ENSMUSG00000096833 Igkv4-55 IG_V_gene 793 65 164 360 38 1067 299 170 58 94 47 82 183 1296 346 167 516 99 1 46 47 58
Gm10736 ENSMUSG00000096842 Gm10736 processed_pseudogene 34 17 53 41 35 51 28 36 18 61 65 56 41 46 72 40 39 73 1 2 1 2
Igkv6.14 ENSMUSG00000096844 Igkv6-14 IG_V_gene 140 39 159 72 38 129 267 389 140 56 65 132 28 132 165 105 267 102 1 0 35 10
Gm8890 ENSMUSG00000096846 Gm8890 protein_coding 0 0 0 0 0 6 1 1 0 0 1 0 1 2 2 0 2 0 0 0 0 0
Tmem151b ENSMUSG00000096847 Tmem151b protein_coding 31 33 37 29 26 7 17 13 10 14 5 13 12 39 33 38 6 13 5 6 15 18
Cyp2d12 ENSMUSG00000096852 Cyp2d12 protein_coding 263 1277 2350 646 1049 405 366 1076 337 545 640 363 494 354 213 92 334 113 277 271 420 118
Gm10778 ENSMUSG00000096856 Gm10778 protein_coding 9 11 20 9 24 5 10 23 5 11 4 5 2 9 14 20 11 22 8 3 6 10
Gm13301 ENSMUSG00000096862 Gm13301 transcribed_unprocessed_pseudogene 3 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm21083 ENSMUSG00000096878 Gm21083 protein_coding 19 12 45 18 16 5 3 11 2 0 8 6 2 1 2 1 0 0 30 16 23 19
Shisa8 ENSMUSG00000096883 Shisa8 protein_coding 10 17 17 25 14 11 17 22 16 34 17 23 30 9 17 8 4 4 4 2 6 4
Trav9.1 ENSMUSG00000096900 Trav9-1 TR_V_gene 0 1 1 1 1 0 5 6 0 1 0 2 0 7 0 5 0 2 0 0 0 0
Gm3591 ENSMUSG00000096904 Gm3591 protein_coding 0 1 4 18 2 0 24 0 2 2 3 0 4 0 1 0 0 0 0 0 0 0
Trav7.3 ENSMUSG00000096908 Trav7-3 TR_V_gene 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0
Zfp955b ENSMUSG00000096910 Zfp955b protein_coding 142 192 187 164 193 21 84 102 49 34 67 78 51 133 114 147 43 154 173 185 211 158
Galntl6 ENSMUSG00000096914 Galntl6 protein_coding 169 228 108 96 117 136 99 76 59 105 77 78 69 68 146 58 105 110 73 90 101 45
Zfp850 ENSMUSG00000096916 Zfp850 protein_coding 83 133 89 122 120 55 88 90 74 69 105 87 57 115 166 119 65 111 37 34 45 30
X2500002B13Rik ENSMUSG00000096917 2500002B13Rik processed_transcript 54 44 23 33 63 27 26 38 65 49 34 36 34 32 45 17 45 35 119 83 87 121
Gm16863 ENSMUSG00000096918 Gm16863 lincRNA 38 54 58 40 40 29 38 46 11 36 22 9 18 34 34 28 30 24 9 16 25 3
A330023F24Rik ENSMUSG00000096929 A330023F24Rik processed_transcript 193 324 314 335 316 31 147 508 329 352 484 599 528 97 57 99 27 16 151 91 84 97
X5033403F01Rik ENSMUSG00000096932 5033403F01Rik antisense 4 11 12 5 12 2 13 17 6 4 13 7 8 8 3 1 7 12 17 34 15 14
Gm26658 ENSMUSG00000096934 Gm26658 lincRNA 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 12 13 26 10
X1700113A16Rik ENSMUSG00000096935 1700113A16Rik antisense 24 22 22 25 28 18 8 24 9 13 16 31 15 18 24 11 24 22 121 97 92 93
Gm10825 ENSMUSG00000096937 Gm10825 lincRNA 0 0 1 0 0 0 1 2 0 0 1 1 0 1 0 1 0 0 1 0 3 0
X9530052E02Rik ENSMUSG00000096938 9530052E02Rik processed_transcript 8 4 10 3 3 0 6 21 18 17 19 14 13 2 4 4 3 0 25 36 42 22
Gm4755 ENSMUSG00000096940 Gm4755 bidirectional_promoter_lncRNA 16 20 10 10 20 12 16 20 9 17 10 9 20 16 8 8 9 11 8 9 8 10
Rps19.ps6 ENSMUSG00000096942 Rps19-ps6 processed_pseudogene 294 321 375 323 335 727 452 270 212 206 271 276 222 385 484 380 726 527 18 10 17 11
Gm4221 ENSMUSG00000096948 Gm4221 lincRNA 6 5 2 5 2 0 9 3 1 1 0 2 5 2 11 7 0 0 15 7 8 9
Gm9530 ENSMUSG00000096950 Gm9530 lincRNA 26 30 23 40 48 44 17 55 81 62 84 87 74 44 26 22 54 26 11 16 11 11
Gm26571 ENSMUSG00000096953 Gm26571 antisense 2 2 3 7 2 13 9 0 10 2 6 5 3 2 0 2 13 2 49 42 64 78
Snhg18 ENSMUSG00000096956 Snhg18 lincRNA 603 680 409 365 525 445 308 239 109 241 185 160 162 427 512 295 359 438 383 364 518 216
E230013L22Rik ENSMUSG00000096957 E230013L22Rik bidirectional_promoter_lncRNA 60 73 84 72 71 39 57 68 70 82 57 95 60 55 37 62 37 71 133 101 147 121
X4930509G22Rik ENSMUSG00000096959 4930509G22Rik lincRNA 20 15 16 19 25 12 32 43 56 30 69 49 41 24 10 33 9 9 10 7 6 6
A230028O05Rik ENSMUSG00000096960 A230028O05Rik lincRNA 6 1 0 2 1 1 3 2 9 1 3 2 0 0 0 2 2 0 1 0 3 0
Gm26622 ENSMUSG00000096962 Gm26622 processed_pseudogene 3 3 0 1 0 3 0 2 1 1 0 0 0 2 0 0 0 6 0 0 0 0
Gm6345 ENSMUSG00000096964 Gm6345 transcribed_unprocessed_pseudogene 4 6 1 7 5 4 5 14 12 10 2 12 3 0 5 1 4 0 0 0 0 0
X3300005D01Rik ENSMUSG00000096965 3300005D01Rik lincRNA 4 5 13 8 6 4 7 19 14 12 14 17 8 4 9 13 31 6 2 2 1 7
Gm26621 ENSMUSG00000096967 Gm26621 processed_transcript 26 38 84 53 64 37 32 92 85 55 106 94 51 34 19 38 1 24 17 14 11 20
Gm26620 ENSMUSG00000096968 Gm26620 protein_coding 2 0 0 1 0 0 0 2 3 1 0 1 1 1 1 0 2 0 23 24 24 17
X4930556M19Rik ENSMUSG00000096971 4930556M19Rik processed_transcript 9 23 21 10 19 0 2 6 4 9 2 1 6 5 8 6 8 2 17 14 20 14
Gm26881 ENSMUSG00000096974 Gm26881 antisense 6 12 5 3 2 11 1 3 3 5 5 7 11 15 14 0 15 18 4 6 5 4
Gm10827 ENSMUSG00000096977 Gm10827 lincRNA 0 0 0 1 0 0 0 2 1 2 0 1 3 0 0 6 0 0 4 0 0 0
Gm16845 ENSMUSG00000096981 Gm16845 antisense 28 12 22 23 19 36 19 18 21 14 16 27 16 22 12 11 38 18 91 92 152 113
X4930509E16Rik ENSMUSG00000096986 4930509E16Rik lincRNA 31 30 9 30 44 6 12 7 11 11 8 16 15 12 17 14 8 17 14 9 17 35
A930029G22Rik ENSMUSG00000096988 A930029G22Rik lincRNA 4 7 4 7 4 3 6 9 3 9 4 2 5 3 1 1 0 8 18 14 25 8
Gm26789 ENSMUSG00000096991 Gm26789 antisense 28 36 46 55 57 5 16 47 57 19 57 54 20 32 10 24 0 0 14 16 9 14
